Symbol,Year,Month,Open,High,Low,Close,Volume
BVC.CL,2020,1,11600.0,12300.0,10960.0,11260.0,431571
BVC.CL,2020,2,10900.0,11380.0,10100.0,10360.0,689826
BVC.CL,2020,3,10620.0,10700.0,8000.0,8840.0,499483
BVC.CL,2020,4,8600.0,9370.0,8450.0,9370.0,1723346
BVC.CL,2020,5,9370.0,10220.0,8560.0,10220.0,362013
BVC.CL,2020,6,10500.0,10900.0,9500.0,10700.0,673991
BVC.CL,2020,7,10640.0,11420.0,10500.0,11000.0,1239169
BVC.CL,2020,8,10940.0,11920.0,10700.0,10700.0,120712
BVC.CL,2020,9,11340.0,11860.0,10900.0,11500.0,737177
BVC.CL,2020,10,11100.0,11400.0,10200.0,10200.0,218534
BVC.CL,2020,11,10200.0,11490.0,10200.0,11150.0,452806
BVC.CL,2020,12,11190.0,11950.0,11140.0,11880.0,1037672
BVC.CL,2021,1,11880.0,12870.0,11810.0,12350.0,396364
BVC.CL,2021,2,12350.0,12680.0,11770.0,11770.0,696703
BVC.CL,2021,3,11800.0,12500.0,11700.0,12010.0,1667552
BVC.CL,2021,4,12010.0,12530.0,11840.0,11950.0,1473233
BVC.CL,2021,5,11690.0,11900.0,10810.0,11400.0,2323913
BVC.CL,2021,6,11500.0,11600.0,11180.0,11250.0,473070
BVC.CL,2021,7,11300.0,11300.0,10490.0,10500.0,312361
BVC.CL,2021,8,10480.0,10500.0,9345.0,9825.0,1123304
BVC.CL,2021,9,9825.0,9885.0,9300.0,9700.0,345047
BVC.CL,2021,10,9700.0,10070.0,9680.0,9810.0,453724
BVC.CL,2021,11,9810.0,9960.0,9015.0,9600.0,428882
BVC.CL,2021,12,10000.0,10100.0,9355.0,9875.0,273683
BVC.CL,2022,1,9930.0,11050.0,9680.0,10930.0,258877
BVC.CL,2022,2,10930.0,10930.0,10000.0,10000.0,336418
BVC.CL,2022,3,10000.0,10130.0,9400.0,9400.0,65373331
BVC.CL,2022,4,9400.0,9695.0,9100.0,9415.0,445890
BVC.CL,2022,5,9415.0,10150.0,9250.0,10030.0,278546
BVC.CL,2022,6,10000.0,10130.0,8300.0,8980.0,394500
BVC.CL,2022,7,9000.0,9185.0,8530.0,8610.0,176402
BVC.CL,2022,8,8610.0,8845.0,7900.0,8290.0,219895
BVC.CL,2022,9,8290.0,8290.0,7190.0,7710.0,223177
BVC.CL,2022,10,7800.0,8200.0,7500.0,7900.0,123397
BVC.CL,2022,11,8070.0,8070.0,7505.0,7780.0,18296664
BVC.CL,2022,12,7780.0,7780.0,6840.72998046875,6969.77001953125,176307
BVC.CL,2023,1,6896.47998046875,7250.0,6700.0,7104.6201171875,576243
BVC.CL,2023,2,7130.1201171875,7385.0,6705.0,7200.0,392002
BVC.CL,2023,3,7272.35986328125,10130.0,7165.47021484375,9670.6298828125,3751215
BVC.CL,2023,4,9795.7197265625,10800.0,9520.0,10050.0,153745
BVC.CL,2023,5,10050.0,10250.0,9383.8203125,10250.0,96572
BVC.CL,2023,6,10046.400390625,10260.0,9100.0,9420.0,219733
BVC.CL,2023,7,9420.0,10200.0,9420.0,10200.0,75219
BVC.CL,2023,8,9400.0,9561.25,8470.0,9000.0,8452789
BVC.CL,2023,9,9212.5,9212.5,8210.0,8824.0400390625,20954
BVC.CL,2023,10,8531.2998046875,9000.0,8000.0,9000.0,41022
BVC.CL,2023,11,9000.0,11100.0,8950.0,11100.0,183919
BVC.CL,2023,12,11000.0,11580.0,11000.0,11500.0,83501
BVC.CL,2024,1,11500.0,11500.0,10385.9296875,10420.0,9884
BVC.CL,2024,2,10100.0,10100.0,9920.0,9920.0,12302
BVC.CL,2024,3,9920.0,9940.0,9000.0,9940.0,32482
BVC.CL,2024,4,9940.0,10300.0,9720.0,10140.0,72153
BVC.CL,2024,5,10140.0,10460.0,9000.0,10460.0,31146
BVC.CL,2024,6,10460.0,11180.0,10340.0,11180.0,109275
CEMARGOS.CL,2020,1,7300.0,7300.0,6320.0,6500.0,6431503
CEMARGOS.CL,2020,2,6520.0,6630.0,4905.0,5300.0,18583100
CEMARGOS.CL,2020,3,5300.0,5500.0,2415.0,4090.0,25481441
CEMARGOS.CL,2020,4,3900.0,4120.0,3490.0,3895.0,7179667
CEMARGOS.CL,2020,5,3895.0,3895.0,3295.0,3500.0,3326391
CEMARGOS.CL,2020,6,3600.0,3935.0,3385.0,3400.0,13268972
CEMARGOS.CL,2020,7,3405.0,4220.0,3405.0,3660.0,8639262
CEMARGOS.CL,2020,8,3840.0,5000.0,3730.0,5000.0,17542989
CEMARGOS.CL,2020,9,5080.0,5300.0,4400.0,4630.0,14873259
CEMARGOS.CL,2020,10,4590.0,4685.0,4010.0,4555.0,6733391
CEMARGOS.CL,2020,11,4555.0,5080.0,4540.0,4980.0,8593044
CEMARGOS.CL,2020,12,5100.0,6275.0,4956.0,6180.0,13815906
CEMARGOS.CL,2021,1,6180.0,6180.0,5700.0,5840.0,6764419
CEMARGOS.CL,2021,2,5840.0,6030.0,5560.0,5770.0,6332505
CEMARGOS.CL,2021,3,5610.0,5705.0,4850.0,5150.0,10237056
CEMARGOS.CL,2021,4,5150.0,5420.0,5090.0,5130.0,9675157
CEMARGOS.CL,2021,5,5010.0,5570.0,4860.0,5070.0,11147584
CEMARGOS.CL,2021,6,5100.0,5525.0,5015.0,5350.0,8425199
CEMARGOS.CL,2021,7,5460.0,5790.0,5360.0,5595.0,11271990
CEMARGOS.CL,2021,8,5465.0,5940.0,5250.0,5900.0,10045711
CEMARGOS.CL,2021,9,5825.0,6000.0,5720.0,5895.0,9103995
CEMARGOS.CL,2021,10,5930.0,6450.0,5880.0,6350.0,9982460
CEMARGOS.CL,2021,11,6350.0,6475.0,5945.0,6010.0,9903170
CEMARGOS.CL,2021,12,6290.0,6600.0,6045.0,6110.0,7402578
CEMARGOS.CL,2022,1,6175.0,6830.0,5995.0,6480.0,6709681
CEMARGOS.CL,2022,2,6270.0,6540.0,6060.0,6070.0,7903239
CEMARGOS.CL,2022,3,6175.0,6335.0,5925.0,6230.0,1528010111
CEMARGOS.CL,2022,4,6330.0,6600.0,5900.0,6005.0,7449835
CEMARGOS.CL,2022,5,6155.0,6155.0,4634.0,5500.0,6009933
CEMARGOS.CL,2022,6,5500.0,5895.0,4500.0,4640.0,5810033
CEMARGOS.CL,2022,7,4630.0,4740.0,3800.0,3900.0,4085754
CEMARGOS.CL,2022,8,3900.0,3991.0,3335.0,3489.0,7359794
CEMARGOS.CL,2022,9,3585.0,3965.0,3170.0,3380.0,6110405
CEMARGOS.CL,2022,10,3400.0,3684.0,2801.0,3330.0,2734006
CEMARGOS.CL,2022,11,3339.0,3960.0,3110.0,3503.0,358812142
CEMARGOS.CL,2022,12,3550.0,3800.0,3300.0,3600.0,3670703
CEMARGOS.CL,2023,1,3700.0,3845.0,3121.0,3213.0,4117888
CEMARGOS.CL,2023,2,3200.0,3268.0,2605.0,3012.0,13770072
CEMARGOS.CL,2023,3,3035.0,3140.0,2801.0,3018.0,38178130
CEMARGOS.CL,2023,4,3044.0,3250.0,2995.0,3090.0,4828469
CEMARGOS.CL,2023,5,3090.0,3250.0,2921.0,3180.0,4923739
CEMARGOS.CL,2023,6,3184.0,3750.0,3184.0,3400.0,10139395
CEMARGOS.CL,2023,7,3400.0,3648.0,3250.0,3500.0,6590592
CEMARGOS.CL,2023,8,3545.0,3625.0,2810.0,2902.0,534825700
CEMARGOS.CL,2023,9,2902.0,5360.0,2902.0,4910.0,31462008
CEMARGOS.CL,2023,10,4930.0,5080.0,4550.0,4736.0,10900172
CEMARGOS.CL,2023,11,4736.0,5670.0,4580.0,5540.0,18743664
CEMARGOS.CL,2023,12,5540.0,6410.0,5400.0,6110.0,12532805
CEMARGOS.CL,2024,1,6110.0,6760.0,6090.0,6400.0,9193552
CEMARGOS.CL,2024,2,6390.0,6830.0,6110.0,6790.0,8330689
CEMARGOS.CL,2024,3,6800.0,8800.0,6780.0,8640.0,14619223
CEMARGOS.CL,2024,4,8670.0,8930.0,7800.0,8120.0,16749090
CEMARGOS.CL,2024,5,8120.0,8560.0,7000.0,8200.0,17578597
CEMARGOS.CL,2024,6,8200.0,8350.0,8080.0,8330.0,6554047
CORFICOLCF.CL,2020,1,25815.796875,27391.56640625,25597.87109375,27240.6953125,2139779
CORFICOLCF.CL,2020,2,27240.6953125,28347.0859375,26503.099609375,26989.2421875,2715318
CORFICOLCF.CL,2020,3,26821.607421875,27659.78125,16428.234375,21608.15625,3008556
CORFICOLCF.CL,2020,4,21189.0703125,22630.73046875,20300.603515625,21624.919921875,1370325
CORFICOLCF.CL,2020,5,21624.919921875,21792.556640625,20132.96875,21792.556640625,752437
CORFICOLCF.CL,2020,6,22379.279296875,24038.865234375,21876.373046875,23284.5078125,1415469
CORFICOLCF.CL,2020,7,23301.271484375,25914.73828125,23217.453125,23379.6015625,1796294
CORFICOLCF.CL,2020,8,23999.30078125,25783.287109375,22928.91015625,25445.26953125,1064596
CORFICOLCF.CL,2020,9,25689.392578125,26027.412109375,24262.205078125,24975.798828125,1170826
CORFICOLCF.CL,2020,10,24863.126953125,24975.798828125,23642.50390625,24412.435546875,1041310
CORFICOLCF.CL,2020,11,24412.435546875,27679.9453125,23989.912109375,27229.25390625,1498144
CORFICOLCF.CL,2020,12,27811.396484375,30985.013671875,27323.1484375,30421.650390625,2180589
